<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.12.05	22:23:00	1.07918	1.07920	1.07910	1.07910	23	0	0
2023.12.05	22:24:00	1.07912	1.07924	1.07912	1.07914	17	0	0
2023.12.05	22:25:00	1.07912	1.07921	1.07912	1.07919	19	0	0
2023.12.05	22:26:00	1.07920	1.07921	1.07914	1.07919	16	0	0
2023.12.05	22:27:00	1.07919	1.07921	1.07917	1.07920	24	0	0
2023.12.05	22:28:00	1.07917	1.07920	1.07909	1.07920	32	0	0
2023.12.05	22:29:00	1.07919	1.07922	1.07917	1.07921	14	0	0
2023.12.05	22:30:00	1.07916	1.07925	1.07916	1.07924	20	0	0
2023.12.05	22:31:00	1.07921	1.07928	1.07918	1.07920	13	0	0
2023.12.05	22:32:00	1.07924	1.07925	1.07919	1.07924	19	0	0
2023.12.05	22:33:00	1.07924	1.07929	1.07921	1.07924	29	0	0
2023.12.05	22:34:00	1.07920	1.07920	1.07908	1.07913	39	0	0
2023.12.05	22:35:00	1.07912	1.07924	1.07909	1.07920	16	0	0
2023.12.05	22:36:00	1.07921	1.07921	1.07918	1.07920	9	0	0
2023.12.05	22:37:00	1.07920	1.07926	1.07916	1.07926	14	0	0
2023.12.05	22:38:00	1.07926	1.07939	1.07926	1.07936	29	0	0
2023.12.05	22:39:00	1.07938	1.07940	1.07935	1.07935	9	0	0
2023.12.05	22:40:00	1.07936	1.07940	1.07933	1.07934	12	0	0
2023.12.05	22:41:00	1.07933	1.07949	1.07933	1.07949	21	0	0
2023.12.05	22:42:00	1.07949	1.07949	1.07941	1.07943	35	0	0
2023.12.05	22:43:00	1.07943	1.07944	1.07934	1.07944	24	0	0
2023.12.05	22:44:00	1.07944	1.07946	1.07937	1.07940	11	0	0
2023.12.05	22:45:00	1.07940	1.07941	1.07936	1.07937	15	0	0
2023.12.05	22:46:00	1.07938	1.07945	1.07937	1.07940	23	0	0
2023.12.05	22:47:00	1.07939	1.07941	1.07939	1.07941	11	0	0
2023.12.05	22:48:00	1.07940	1.07949	1.07939	1.07949	21	0	0
2023.12.05	22:49:00	1.07949	1.07951	1.07945	1.07950	29	0	0
2023.12.05	22:50:00	1.07947	1.07955	1.07943	1.07949	39	0	0
2023.12.05	22:51:00	1.07948	1.07951	1.07946	1.07946	11	0	0
2023.12.05	22:52:00	1.07945	1.07954	1.07935	1.07950	28	0	0
2023.12.05	22:53:00	1.07950	1.07962	1.07949	1.07953	13	0	0
2023.12.05	22:54:00	1.07952	1.07962	1.07947	1.07956	28	0	0
2023.12.05	22:55:00	1.07955	1.07970	1.07955	1.07970	27	0	0
2023.12.05	22:56:00	1.07969	1.07977	1.07966	1.07970	22	0	0
2023.12.05	22:57:00	1.07971	1.07971	1.07961	1.07961	17	0	0
